Date,DiverName,County,Location,SiteCode,TimeStart,Time.End,Depth,SurveyArea,SpeciesCode,UK,DS,BB,RB,YB,TLD,WP,WS,P,PB,BL,TotalDiseased,TotalHealthy,Notes
12/8/17,Ryan Eckert,Palm Beach,JUP,SEFL04,11:10,11:30,65,450,ALAM,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/8/17,Ryan Eckert,Palm Beach,JUP,SEFL04,11:10,11:30,65,450,OFAV,0,0,0,0,0,0,0,0,1,0,0,1,1,Paling on 25% of colony
12/8/17,Ryan Eckert,Palm Beach,JUP,SEFL05,12:08,12:29,70,480,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,22,"MCAV w/ affected margins/ dead polyps, no sloughing tissue, no other apparent disease, only old mortality on several mcav."
12/8/17,Ryan Eckert,Palm Beach,JUP,SEFL05,12:08,12:29,70,480,UAGA,0,0,0,0,0,0,0,0,0,0,0,0,2,
12/8/17,Ryan Eckert,Palm Beach,JUP,SEFL06,13:12,13:32,71,600,MCAV,0,0,0,0,0,1,0,0,0,0,0,1,87,"MCAV diseased, dead margin, no sloughing tissue"
12/8/17,Ryan Eckert,Palm Beach,JUP,SEFL06,13:12,13:32,71,600,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/8/17,Ryan Eckert,Palm Beach,JUP,SEFL06,13:12,13:32,71,600,PAST,0,0,0,0,0,0,0,0,0,0,0,0,29,
12/8/17,Ryan Eckert,Palm Beach,JUP,SEFL06,13:12,13:32,71,600,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/8/17,Ryan Eckert,Palm Beach,JUP,SEFL06,13:12,13:32,71,600,SSID,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/8/17,Ryan Eckert,Palm Beach,JUP,SEFL06,13:12,13:32,71,600,UAGA,0,0,0,0,0,0,0,0,0,0,0,0,9,
12/8/17,Ryan Eckert,Palm Beach,JUP,SEFL06,13:12,13:32,71,600,PSTR,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL08,10:01,10:21,55,700,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,19,
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL08,10:01,10:21,55,700,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,7,
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL08,10:01,10:21,55,700,SSID,0,0,0,0,0,0,0,0,0,0,0,0,4,
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL08,10:01,10:21,55,700,PAST,0,0,0,0,0,0,0,0,0,0,0,0,6,
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL08,10:01,10:21,55,700,SINT,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL08,10:01,10:21,55,700,MLAM,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL11,11:59,12:19,49,1300,MCAV,0,0,0,0,0,1,0,0,0,0,0,1,34,Site near CREMP station with temp logger
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL11,11:59,12:19,49,1300,SINT,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL11,11:59,12:19,49,1300,SRAD,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL11,11:59,12:19,49,1300,SSID,0,0,0,0,0,0,0,0,0,0,0,0,3,"Many dead, unidentified colonies > 40"
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL11,11:59,12:19,49,1300,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,2,
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL11,11:59,12:19,49,1300,MFOR,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL11,11:59,12:19,49,1300,EFAST,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL12,12:56,13:16,46,1600,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,15,2 MCAV recruits
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL12,12:56,13:16,46,1600,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,4,
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL12,12:56,13:16,46,1600,PAST,0,0,0,0,0,0,0,0,0,0,0,0,7,
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL12,12:56,13:16,46,1600,SSID,0,0,0,0,0,0,0,0,0,0,0,0,2,
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL12,12:56,13:16,46,1600,DSTO,0,0,0,0,0,0,0,0,0,0,0,0,1,1 CNAT recruit
12/7/17,Joshua Voss,Palm Beach,WPB,SEFL12,12:56,13:16,46,1600,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,1,
4/19/18,Alexis Sturm,Palm Beach,WPB,SEFL08,12:44,13:04,50,750,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,24,Old Fishing Line
4/19/18,Alexis Sturm,Palm Beach,WPB,SEFL08,12:44,13:04,50,750,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,8,
4/19/18,Alexis Sturm,Palm Beach,WPB,SEFL08,12:44,13:04,50,750,SSID,0,0,0,0,0,0,0,0,0,0,0,0,6,
4/19/18,Alexis Sturm,Palm Beach,WPB,SEFL08,12:44,13:04,50,750,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,2,
4/19/18,Alexis Sturm,Palm Beach,WPB,SEFL08,12:44,13:04,50,750,PAST,0,0,0,0,0,0,0,0,0,0,0,0,19,
4/19/18,Ian Combs,Palm Beach,WPB,SEFL08,12:46,13:06,50,750,PAST,0,0,0,0,0,0,0,0,0,0,0,0,36,
4/19/18,Ian Combs,Palm Beach,WPB,SEFL08,12:46,13:06,50,750,SSID,0,0,0,0,0,0,0,0,0,0,0,0,2,
4/19/18,Ian Combs,Palm Beach,WPB,SEFL08,12:46,13:06,50,750,MMEA,0,0,0,0,0,0,0,0,0,0,0,0,2,252
4/19/18,Ian Combs,Palm Beach,WPB,SEFL08,12:46,13:06,50,750,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,19,
4/19/18,Ian Combs,Palm Beach,WPB,SEFL08,12:46,13:06,50,750,SINT,0,0,0,0,0,0,0,0,0,0,0,0,2,
4/19/18,Ian Combs,Palm Beach,WPB,SEFL08,12:46,13:06,50,750,SRAD,0,0,0,0,0,0,0,0,0,0,0,0,3,
4/19/18,Ian Combs,Palm Beach,WPB,SEFL08,12:46,13:06,50,750,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,4,
4/19/18,Ian Combs,Palm Beach,WPB,SEFL08,12:46,13:06,50,750,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,2,
5/30/18,Jeff Beal,Palm Beach,JUP,SEFL04,11:10,11:30,70,100,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,9,
5/30/18,Jeff Beal,Palm Beach,JUP,SEFL04,11:10,11:30,70,100,OANN,0,0,0,0,0,0,0,0,0,0,0,0,1,
5/30/18,Jeff Beal,Palm Beach,JUP,SEFL04,11:10,11:30,70,100,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,4,
5/30/18,Jeff Beal,Palm Beach,JUP,SEFL04,11:10,11:30,70,100,AGGA,0,0,0,0,0,0,0,0,0,0,0,0,7,
5/30/18,Jeff Beal,Palm Beach,JUP,SEFL04,11:10,11:30,70,100,SSID,0,0,0,0,0,0,0,0,0,0,0,0,3,
5/30/18,Jeff Beal,Palm Beach,JUP,SEFL04,11:10,11:30,70,100,PAST,0,0,0,0,0,0,0,0,0,0,0,0,3,
5/30/18,Jeff Beal,Palm Beach,JUP,SEFL04,11:10,11:30,70,100,SRAD,0,0,0,0,0,0,0,0,0,0,0,0,1,
6/1/18,Michael Studivan,Palm Beach,JUP,SEFL06,11:02,11:22,70,2000,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,69,21 Dead
6/1/18,Michael Studivan,Palm Beach,JUP,SEFL06,11:02,11:22,70,2000,PAST,0,0,0,0,0,0,0,0,0,0,0,0,10,
6/1/18,Michael Studivan,Palm Beach,JUP,SEFL06,11:02,11:22,70,2000,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,7,
6/1/18,Michael Studivan,Palm Beach,JUP,SEFL06,11:02,11:22,70,2000,SSID,0,0,0,0,0,0,0,0,0,0,0,0,1,
6/1/18,Michael Studivan,Palm Beach,JUP,SEFL06,11:02,11:22,70,2000,SINT,0,0,0,0,0,0,0,0,0,0,0,0,2,
6/1/18,Michael Studivan,Palm Beach,JUP,SEFL06,11:02,11:22,70,2000,HCUC,0,0,0,0,0,0,0,0,0,0,0,0,1,
6/1/18,Michael Studivan,Palm Beach,JUP,SEFL05,12:52,13:12,67,2000,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,18,
6/1/18,Michael Studivan,Palm Beach,JUP,SEFL05,12:52,13:12,67,2000,ODIF,0,0,0,0,0,0,0,0,0,0,0,0,1,4 Dead
6/1/18,Michael Studivan,Palm Beach,JUP,SEFL05,12:52,13:12,67,2000,SSID,0,0,0,0,0,0,0,0,0,0,0,0,2,
6/1/18,Michael Studivan,Palm Beach,JUP,SEFL05,12:52,13:12,67,2000,SINT,0,0,0,0,0,0,0,0,0,0,0,0,1,
6/1/18,Michael Studivan,Palm Beach,JUP,SEFL05,12:52,13:12,67,2000,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,1,
6/1/18,Michael Studivan,Palm Beach,JUP,SEFL05,12:52,13:12,67,2000,DSTO,0,0,0,0,0,0,0,0,0,0,0,0,1,
8/22/18,Michael Studivan,Palm Beach,JUP,SEFL06,11:29,11:49,60,600,MCAV,0,0,0,0,0,2,0,0,0,0,0,2,68,15 Dead Colonies
8/22/18,Michael Studivan,Palm Beach,JUP,SEFL06,11:29,11:49,60,600,PAST,0,0,0,0,0,0,0,0,0,0,0,0,10,
8/22/18,Michael Studivan,Palm Beach,JUP,SEFL06,11:29,11:49,60,600,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,6,
8/22/18,Michael Studivan,Palm Beach,JUP,SEFL06,11:29,11:49,60,600,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,3,
8/22/18,Michael Studivan,Palm Beach,JUP,SEFL06,11:29,11:49,60,600,SINT,0,0,0,0,0,0,0,0,0,0,0,0,3,
8/22/18,Michael Studivan,Palm Beach,JUP,SEFL06,11:29,11:49,60,600,OFAV,0,0,0,0,0,0,0,0,0,0,0,0,1,
8/22/18,Michael Studivan,Palm Beach,JUP,SEFL06,11:29,11:49,60,600,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,1,
8/22/18,Michael Studivan,Palm Beach,JUP,SEFL04,10:19,10:39,62,600,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,49,5 Dead Colonies
8/22/18,Michael Studivan,Palm Beach,JUP,SEFL04,10:19,10:39,62,600,PAST,0,0,0,0,0,0,0,0,0,0,0,0,4,
8/22/18,Michael Studivan,Palm Beach,JUP,SEFL04,10:19,10:39,62,600,OFAV,0,0,0,0,0,0,0,0,0,0,0,0,1,
8/22/18,Michael Studivan,Palm Beach,JUP,SEFL04,10:19,10:39,62,600,SSID,0,0,0,0,0,0,0,0,0,0,0,0,1,
8/22/18,Michael Studivan,Palm Beach,JUP,SEFL04,10:19,10:39,62,600,SCUB,0,0,0,0,0,0,0,0,0,0,0,0,1,
8/22/18,Michael Studivan,Palm Beach,JUP,SEFL04,10:19,10:39,62,600,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,3,
8/22/18,Michael Studivan,Palm Beach,JUP,SEFL04,10:19,10:39,62,600,HCUC,0,0,0,0,0,0,0,0,0,0,0,0,1,
8/22/18,Michael Studivan,Palm Beach,JUP,SEFL05,13:05,13:25,66,700,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,18,4 Dead Colonies
8/22/18,Michael Studivan,Palm Beach,JUP,SEFL05,13:05,13:25,66,700,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,1,
8/31/18,Jeff Beal,Palm Beach,WPB,SEFL08,10:57,11:21,68,750,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,10,
8/31/18,Jeff Beal,Palm Beach,WPB,SEFL08,10:57,11:21,68,750,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,44,
8/31/18,Jeff Beal,Palm Beach,WPB,SEFL08,10:57,11:21,68,750,MYCE,0,0,0,0,0,0,0,0,0,0,0,0,1,
8/31/18,Jeff Beal,Palm Beach,WPB,SEFL08,10:57,11:21,68,750,SSID,0,0,0,0,0,0,0,0,0,0,0,0,2,
8/31/18,Jeff Beal,Palm Beach,WPB,SEFL08,10:57,11:21,68,750,PAST,0,0,0,0,0,0,0,0,0,0,0,0,23,
8/31/18,Jeff Beal,Palm Beach,WPB,SEFL08,10:57,11:21,68,750,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,1,
8/31/18,Jeff Beal,Palm Beach,WPB,SEFL08,10:57,11:21,68,750,MMEA,0,0,0,0,0,0,0,0,0,0,0,0,3,
8/31/18,Jeff Beal,Palm Beach,WPB,SEFL08,10:57,11:21,68,750,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,2,
8/31/18,Jeff Beal,Palm Beach,WPB,SEFL08,10:57,11:21,68,750,DSTO,0,0,0,0,0,0,0,0,0,0,0,0,1,
8/31/18,Jeff Beal,Palm Beach,WPB,SEFL11,11:57,12:17,50,700,PAST,0,0,0,0,0,1,0,0,0,0,0,1,10,
8/31/18,Jeff Beal,Palm Beach,WPB,SEFL11,11:57,12:17,50,700,MCAV,0,0,0,0,0,1,0,0,0,0,0,1,35,
8/31/18,Jeff Beal,Palm Beach,WPB,SEFL11,11:57,12:17,50,700,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,1,
8/31/18,Jeff Beal,Palm Beach,WPB,SEFL11,11:57,12:17,50,700,MMEA,0,0,0,0,0,0,0,0,0,0,0,0,4,5 cup corals
8/31/18,Jeff Beal,Palm Beach,WPB,SEFL11,11:57,12:17,50,700,MANG,0,0,0,0,0,0,0,0,0,0,0,0,1,
8/31/18,Jeff Beal,Palm Beach,WPB,SEFL11,11:57,12:17,50,700,SRAD,0,0,0,0,0,0,0,0,0,0,0,0,3,
8/31/18,Jeff Beal,Palm Beach,WPB,SEFL11,11:57,12:17,50,700,SSID,0,0,0,0,0,0,0,0,0,0,0,0,2,
11/8/18,Ryan Eckert,Broward,PMP,FTL4,11:56,12:16,22,800,MCAV,0,0,0,0,0,8,0,0,0,0,0,8,47,
11/8/18,Ryan Eckert,Broward,PMP,FTL4,11:56,12:16,22,800,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,2,
11/8/18,Ryan Eckert,Broward,PMP,FTL4,11:56,12:16,22,800,SINT,0,0,0,0,0,0,0,0,0,0,0,0,1,
11/8/18,Ryan Eckert,Broward,PMP,FTL4,11:56,12:16,22,800,SSID,0,0,0,0,0,0,0,0,0,0,0,0,5,
11/8/18,Ryan Eckert,Broward,PMP,FTL4,11:56,12:16,22,800,OFAV,0,0,0,0,0,1,0,0,0,0,0,1,1,
11/8/18,Ryan Eckert,Broward,PMP,BC1,13:45,14:05,31,1000,MCAV,0,0,0,0,0,25,0,0,0,0,0,25,180,
11/8/18,Ryan Eckert,Broward,PMP,BC1,13:45,14:05,31,1000,OFAV,0,0,0,0,0,0,0,0,0,0,0,0,7,
11/8/18,Ryan Eckert,Broward,PMP,BC1,13:45,14:05,31,1000,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,3,
11/8/18,Ryan Eckert,Broward,PMP,BC1,13:45,14:05,31,1000,PAST,0,0,0,0,0,0,0,0,0,0,0,0,4,
11/8/18,Ryan Eckert,Broward,PMP,BC1,13:45,14:05,31,1000,SSID,0,0,0,0,0,0,0,0,0,0,0,0,4,
11/8/18,Ryan Eckert,Broward,PMP,BC1,13:45,14:05,31,1000,SINT,0,0,0,0,0,0,0,0,0,0,0,0,8,
11/8/18,Ryan Eckert,Broward,PMP,BC1,13:45,14:05,31,1000,MAUR,0,0,0,0,0,0,0,0,0,0,0,0,4,
11/8/18,Ryan Eckert,Broward,PMP,BC1,13:45,14:05,31,1000,CNAT,0,0,0,0,0,1,0,0,0,0,0,1,0,
11/8/18,Ryan Eckert,Broward,PMP,T328,15:03,15:23,18,900,MCAV,0,0,0,0,0,15,0,0,0,0,0,15,45,
11/8/18,Ryan Eckert,Broward,PMP,T328,15:03,15:23,18,900,OFAV,0,0,0,0,0,0,0,0,0,0,0,0,1,
11/8/18,Ryan Eckert,Broward,PMP,T328,15:03,15:23,18,900,SINT,0,0,0,0,0,0,0,0,0,0,0,0,2,
11/8/18,Ryan Eckert,Broward,PMP,T328,15:03,15:23,18,900,PAST,0,0,0,0,0,1,0,0,0,0,0,1,4,
11/8/18,Ryan Eckert,Broward,PMP,T328,15:03,15:23,18,900,SSID,0,0,0,0,0,0,0,0,0,0,0,0,3,
11/8/18,Ryan Eckert,Broward,PMP,T328,15:03,15:23,18,900,PSTR,0,0,0,0,0,0,0,0,0,0,0,0,3,
11/8/18,Ryan Eckert,Broward,PMP,T328,15:03,15:23,18,900,AAGA,0,0,0,0,0,1,0,0,0,0,0,1,0,
11/8/18,Ryan Eckert,Broward,PMP,T328,15:03,15:23,18,900,ACER,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/17/18,Joshua Voss,Broward,PMP,T328,9:59,10:19,22,900,MCAV,0,0,0,0,0,10,0,0,0,0,0,10,70,
12/17/18,Joshua Voss,Broward,PMP,T328,9:59,10:19,22,900,OFAV,0,0,0,0,0,1,0,0,0,0,0,1,0,
12/17/18,Joshua Voss,Broward,PMP,T328,9:59,10:19,22,900,SSID,0,0,0,0,0,0,0,0,0,0,0,0,10,
12/17/18,Joshua Voss,Broward,PMP,T328,9:59,10:19,22,900,PAST,0,0,0,0,0,0,0,0,0,0,0,0,2,
12/17/18,Joshua Voss,Broward,PMP,T328,9:59,10:19,22,900,ACER,0,0,0,0,0,0,0,0,0,0,0,0,20,
12/17/18,Joshua Voss,Broward,PMP,T328,9:59,10:19,22,900,SINT,0,0,0,0,0,0,0,0,0,0,0,0,4,
12/17/18,Joshua Voss,Broward,PMP,T328,9:59,10:19,22,900,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,2,
12/17/18,Joshua Voss,Broward,PMP,T328,9:59,10:19,22,900,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,3,
12/17/18,Joshua Voss,Broward,PMP,T328,9:59,10:19,22,900,PCLI,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/17/18,Joshua Voss,Broward,PMP,BC1,11:06,11:26,31,800,MCAV,0,0,0,0,0,23,0,0,0,0,0,23,192,
12/17/18,Joshua Voss,Broward,PMP,BC1,11:06,11:26,31,800,SINT,0,0,0,0,0,0,0,0,0,0,0,0,10,
12/17/18,Joshua Voss,Broward,PMP,BC1,11:06,11:26,31,800,PAST,0,0,0,0,0,0,0,0,0,0,0,0,11,
12/17/18,Joshua Voss,Broward,PMP,BC1,11:06,11:26,31,800,SSID,0,0,0,0,0,0,0,0,0,0,0,0,33,
12/17/18,Joshua Voss,Broward,PMP,BC1,11:06,11:26,31,800,PPOR,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/17/18,Joshua Voss,Broward,PMP,BC1,11:06,11:26,31,800,OFAV,0,0,0,0,0,0,0,0,0,0,0,0,15,
12/17/18,Joshua Voss,Broward,PMP,BC1,11:06,11:26,31,800,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,4,
12/17/18,Joshua Voss,Broward,PMP,BC1,11:06,11:26,31,800,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/17/18,Joshua Voss,Broward,PMP,BC1,11:06,11:26,31,800,MAUR,0,0,0,0,0,0,0,0,0,0,0,0,23,
12/17/18,Joshua Voss,Broward,PMP,BC1,11:06,11:26,31,800,CNAT,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/17/18,Joshua Voss,Broward,PMP,BC1,11:06,11:26,31,800,MFOR,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/17/18,Joshua Voss,Broward,PMP,T328,12:55,13:15,18,700,MCAV,0,0,0,0,0,9,0,0,0,0,0,9,60,
12/17/18,Joshua Voss,Broward,PMP,T328,12:55,13:15,18,700,PAST,0,0,0,0,0,0,0,0,0,0,0,0,5,
12/17/18,Joshua Voss,Broward,PMP,T328,12:55,13:15,18,700,SINT,0,0,0,0,0,0,0,0,0,0,0,0,3,
12/17/18,Joshua Voss,Broward,PMP,T328,12:55,13:15,18,700,SSID,0,0,0,0,0,0,0,0,0,0,0,0,5,
12/17/18,Joshua Voss,Broward,PMP,T328,12:55,13:15,18,700,PSTR,0,0,0,0,0,0,0,0,0,0,0,0,3,
12/17/18,Joshua Voss,Broward,PMP,T328,12:55,13:15,18,700,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,2,
12/17/18,Joshua Voss,Broward,PMP,T328,12:55,13:15,18,700,OFAV,0,0,0,0,0,0,0,0,0,0,0,0,2,
12/18/18,Ryan Eckert,Palm Beach,JUP,SEFL04,10:47,11:07,67,1500,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,109,
12/18/18,Ryan Eckert,Palm Beach,JUP,SEFL04,10:47,11:07,67,1500,PAST,0,0,0,0,0,0,0,0,0,0,0,0,6,
12/18/18,Ryan Eckert,Palm Beach,JUP,SEFL04,10:47,11:07,67,1500,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,7,
12/18/18,Ryan Eckert,Palm Beach,JUP,SEFL04,10:47,11:07,67,1500,SINT,0,0,0,0,0,0,0,0,0,0,0,0,2,
12/18/18,Ryan Eckert,Palm Beach,JUP,SEFL04,10:47,11:07,67,1500,SSID,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/18/18,Ryan Eckert,Palm Beach,JUP,SEFL04,10:47,11:07,67,1500,DSTO,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/18/18,Ryan Eckert,Palm Beach,JUP,SEFL04,10:47,11:07,67,1500,CNAT,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/18/18,Ian Combs,Palm Beach,JUP,SEFL04,10:47,11:07,67,1500,SSID,0,0,0,0,0,0,0,0,0,0,0,0,3,
12/18/18,Ian Combs,Palm Beach,JUP,SEFL04,10:47,11:07,67,1500,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,44,
12/18/18,Ian Combs,Palm Beach,JUP,SEFL04,10:47,11:07,67,1500,PAST,0,0,0,0,0,0,0,0,0,0,0,0,10,
12/18/18,Ian Combs,Palm Beach,JUP,SEFL04,10:47,11:07,67,1500,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,5,
12/18/18,Ian Combs,Palm Beach,JUP,SEFL04,10:47,11:07,67,1500,SRAD,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/18/18,Ryan Eckert,Palm Beach,JUP,SEFL05,11:46,12:06,74,1200,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,16,
12/18/18,Ryan Eckert,Palm Beach,JUP,SEFL05,11:46,12:06,74,1200,DSTO,0,0,0,0,0,0,0,0,0,0,0,0,2,
12/18/18,Ryan Eckert,Palm Beach,JUP,SEFL05,11:46,12:06,74,1200,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,3,
12/18/18,Ryan Eckert,Palm Beach,JUP,SEFL05,11:46,12:06,74,1200,SRAD,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/18/18,Ian Combs,Palm Beach,JUP,SEFL05,11:46,12:06,74,1500,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,6,
12/18/18,Ian Combs,Palm Beach,JUP,SEFL05,11:46,12:06,74,1500,SRAD,0,0,0,0,0,0,0,0,0,0,0,0,1,"Lots of SSID, SRAD, SINT recruits <10cm"
12/18/18,Ian Combs,Palm Beach,JUP,SEFL05,11:46,12:06,74,1500,SINT,0,0,0,0,0,0,0,0,0,0,0,0,2,
12/18/18,Ian Combs,Palm Beach,JUP,SEFL05,11:46,12:06,74,1500,AAGA,0,0,0,0,0,0,0,0,0,0,0,0,2,
12/18/18,Ryan Eckert,Palm Beach,JUP,SEFL06,12:46,13:06,78,1100,MCAV,0,0,0,0,0,3,0,0,0,0,0,3,123,
12/18/18,Ryan Eckert,Palm Beach,JUP,SEFL06,12:46,13:06,78,1100,PAST,0,0,0,0,0,0,0,0,0,0,0,0,29,
12/18/18,Ryan Eckert,Palm Beach,JUP,SEFL06,12:46,13:06,78,1100,SINT,0,0,0,0,0,0,0,0,0,0,0,0,5,
