location,model,face,whole,square,square diff,square error,rectangle,rectangle diff,rectangle error,circle,circle diff,circle error
pool,pool6,top,4.57030555,40.7964848,0.4739848,0.011754847,12.5628208,0.3403792,0.026379441,47.3104137,1.70674058,0.037425507
pool,pool6,top,4.57030555,40.3588045,0.0363045,0.000900353,13.1244161,0.2212161,0.017144282,,,
pool,pool6,top,4.57030555,41.1099927,0.7874927,0.019529858,13.3656071,0.4624071,0.035836622,,,
pool,pool6,top,4.57030555,41.687212,1.364712,0.033844925,13.1390244,0.2358244,0.018276428,,,
pool,pool6,side1,4.57030555,39.4818084,0.8406916,0.020849193,13.1918251,0.2886251,0.02236849,45.864536,0.26086288,0.005720216
pool,pool6,side1,4.57030555,40.8435339,0.5210339,0.012921667,11.0837515,1.8194485,0.141007541,,,
pool,pool6,side1,4.57030555,40.1797969,0.1427031,0.003539044,12.9461811,0.0429811,0.003331042,,,
pool,pool6,side1,4.57030555,40.761575,0.439075,0.010889082,13.6002238,0.6970238,0.054019453,,,
pool,pool6,side2,4.57030555,40.1392431,0.1832569,0.00454478,12.7887464,0.1144536,0.008870172,45.646172,0.04249888,0.000931918
pool,pool6,side2,4.57030555,42.3839303,2.0614303,0.051123574,12.0206607,0.8825393,0.068396933,,,
pool,pool6,side2,4.57030555,40.9015309,0.5790309,0.014359995,12.7689535,0.1342465,0.010404125,,,
pool,pool6,side2,4.57030555,40.624541,0.302041,0.007490632,12.7616049,0.1415951,0.010973642,,,
pool,pool6,side3,4.57030555,39.1229429,1.1995571,0.029749076,12.6150819,0.2881181,0.022329197,44.7552724,0.84840072,0.01860378
pool,pool6,side3,4.57030555,40.0867878,0.2357122,0.005845674,10.8269322,2.0762678,0.160911076,,,
pool,pool6,side3,4.57030555,40.9197028,0.5972028,0.014810659,12.3854165,0.5177835,0.040128302,,,
pool,pool6,side3,4.57030555,41.2811969,0.9586969,0.023775731,13.5813941,0.6781941,0.052560148,,,
pool,pool6,side4,4.57030555,43.6061797,3.2836797,0.081435419,12.8561808,0.0470192,0.003643995,45.3602873,0.24338582,0.005336978
pool,pool6,side4,4.57030555,39.8373622,0.4851378,0.012031442,12.9846121,0.0814121,0.00630945,,,
pool,pool6,side4,4.57030555,40.7975247,0.4750247,0.011780636,12.873945,0.029255,0.002267267,,,
pool,pool6,side4,4.57030555,40.3380365,0.0155365,0.000385306,13.1090114,0.2058114,0.015950415,,,
pool,pool7,top,4.40857253,39.7664096,0.5560904,0.01379107,12.6470445,0.2561555,0.019852091,44.9759658,0.62770732,0.013764403
pool,pool7,top,4.40857253,43.4703868,3.1478868,0.078067749,12.7772179,0.1259821,0.009763632,,,
pool,pool7,top,4.40857253,43.1615838,2.8390838,0.070409419,13.4147683,0.5115683,0.039646623,,,
pool,pool7,top,4.40857253,40.2547096,0.0677904,0.001681205,13.1610863,0.2578863,0.019986228,,,
pool,pool7,side1,4.40857253,43.5540934,3.2315934,0.080143677,12.1787314,0.7244686,0.056146429,45.2798134,0.32385972,0.007101615
pool,pool7,side1,4.40857253,41.633095,1.310595,0.032502821,11.2627306,1.6404694,0.127136633,,,
pool,pool7,side1,4.40857253,39.8073785,0.5151215,0.012775039,13.0570268,0.1538268,0.011921601,,,
pool,pool7,side1,4.40857253,40.86236,0.53986,0.013388555,12.4999782,0.4032218,0.031249752,,,
pool,pool7,side2,4.40857253,42.3369174,2.0144174,0.049957651,12.9882589,0.0850589,0.006592078,44.4202671,1.18340602,0.025949796
pool,pool7,side2,4.40857253,43.9068107,3.5843107,0.088891083,11.8185418,1.0846582,0.084061179,,,
pool,pool7,side2,4.40857253,41.5934003,1.2709003,0.03151839,13.3211723,0.4179723,0.032392918,,,
pool,pool7,side2,4.40857253,41.5560806,1.2335806,0.03059286,13.0465846,0.1433846,0.011112329,,,
pool,pool7,side3,4.40857253,37.8678252,2.4546748,0.060876057,12.2982495,0.6049505,0.046883758,46.9140013,1.31032818,0.028732953
pool,pool7,side3,4.40857253,41.391324,1.068824,0.026506888,13.0542782,0.1510782,0.011708584,,,
pool,pool7,side3,4.40857253,40.1060601,0.2164399,0.00536772,12.3831334,0.5200666,0.040305242,,,
pool,pool7,side3,4.40857253,42.5943399,2.2718399,0.056341742,12.5668637,0.3363363,0.026066115,,,
pool,pool7,side4,4.40857253,41.3711173,1.0486173,0.026005761,11.9373864,0.9658136,0.074850704,44.1562404,1.44743272,0.031739389
pool,pool7,side4,4.40857253,40.4551578,0.1326578,0.00328992,12.536388,0.366812,0.028427987,,,
pool,pool7,side4,4.40857253,41.5264032,1.2039032,0.029856859,13.120498,0.217298,0.016840629,,,
pool,pool7,side4,4.40857253,40.7678139,0.4453139,0.011043807,12.9114569,0.0082569,0.000639911,,,
pompano,pompano1,top,7.8720836,38.4348561,1.8876439,0.046813662,13.1921947,0.2889947,0.022397134,45.8531694,0.24949628,0.005470969
pompano,pompano1,top,7.8720836,39.1345166,1.1879834,0.029462047,12.4303396,0.4728604,0.036646754,,,
pompano,pompano1,top,7.8720836,39.4742812,0.8482188,0.021035868,12.623454,0.279746,0.021680358,,,
pompano,pompano1,top,7.8720836,38.7579948,1.5645052,0.038799807,12.7163912,0.1868088,0.014477711,,,
pompano,pompano1,side1,7.8720836,,,,12.2155689,0.6876311,0.053291517,45.0772639,0.52640922,0.011543132
pompano,pompano1,side1,7.8720836,49.6875846,9.3650846,0.232254563,17.4067719,4.5035719,0.34902752,,,
pompano,pompano1,side1,7.8720836,39.8815046,0.4409954,0.010936708,13.3995531,0.4963531,0.038467442,,,
pompano,pompano1,side1,7.8720836,35.2080444,5.1144556,0.126838753,12.2501822,0.6530178,0.050608981,,,
pompano,pompano1,side2,7.8720836,43.9089252,3.5864252,0.088943523,14.8474569,1.9442569,0.150680211,61.7496471,16.14597398,0.354049858
pompano,pompano1,side2,7.8720836,45.1108417,4.7883417,0.118751112,13.490369,0.587169,0.045505689,,,
pompano,pompano1,side2,7.8720836,39.9041538,0.4183462,0.010375007,13.2462756,0.3430756,0.026588412,,,
pompano,pompano1,side2,7.8720836,41.7526041,1.4301041,0.035466653,13.0644179,0.1612179,0.012494412,,,
pompano,pompano1,side3,7.8720836,44.7748743,4.4523743,0.110419103,14.1518993,1.2486993,0.096774389,44.4762663,1.12740682,0.024721842
pompano,pompano1,side3,7.8720836,41.209905,0.887405,0.022007688,14.8220865,1.9188865,0.148714001,,,
pompano,pompano1,side3,7.8720836,35.7165286,4.6059714,0.114228319,13.7382262,0.8350262,0.06471466,,,
pompano,pompano1,side3,7.8720836,35.6674565,4.6550435,0.11544531,12.5165268,0.3866732,0.029967233,,,
pompano,pompano1,side4,7.8720836,,,,10.835596,2.067604,0.16023963,49.4941089,3.89043578,0.085309702
pompano,pompano1,side4,7.8720836,,,,,,,,,
pompano,pompano1,side4,7.8720836,40.0924438,0.2300562,0.005705405,12.4083611,0.4948389,0.038350091,,,
pompano,pompano1,side4,7.8720836,39.4332131,0.8892869,0.022054359,12.5538147,0.3493853,0.027077415,,,
pompano,pompano2,top,9.74216811,39.1685128,1.1539872,0.02861894,12.2755011,0.6276989,0.048646762,44.2555723,1.34810082,0.029561233
pompano,pompano2,top,9.74216811,38.613494,1.709006,0.042383434,12.5278856,0.3753144,0.029086924,,,
pompano,pompano2,top,9.74216811,38.9554115,1.3670885,0.033903863,12.9996472,0.0964472,0.007474673,,,
pompano,pompano2,top,9.74216811,41.073628,0.751128,0.018628012,12.489075,0.414125,0.032094752,,,
pompano,pompano2,side1,9.74216811,,,,12.5839877,0.3192123,0.024739003,49.4551205,3.85144738,0.084454762
pompano,pompano2,side1,9.74216811,,,,,,,,,
pompano,pompano2,side1,9.74216811,38.7640389,1.5584611,0.038649913,12.7231516,0.1800484,0.013953779,,,
pompano,pompano2,side1,9.74216811,40.8397946,0.5172946,0.012828932,13.1844896,0.2812896,0.021799988,,,
pompano,pompano2,side2,9.74216811,,,,15.9089257,3.0057257,0.232944208,51.4176098,5.81393668,0.127488342
pompano,pompano2,side2,9.74216811,47.1543764,6.8318764,0.169430874,,,,,,
pompano,pompano2,side2,9.74216811,42.9861587,2.6636587,0.066058868,12.6452045,0.2579955,0.019994691,,,
pompano,pompano2,side2,9.74216811,44.690401,4.367901,0.108324161,13.8138811,0.9106811,0.070577926,,,
pompano,pompano2,side3,9.74216811,44.5952223,4.2727223,0.105963725,13.6217566,0.7185566,0.055688248,45.2626522,0.34102092,0.007477927
pompano,pompano2,side3,9.74216811,43.683841,3.361341,0.083361424,17.5464637,4.6432637,0.359853656,,,
pompano,pompano2,side3,9.74216811,40.5008918,0.1783918,0.004424125,12.79303,0.11017,0.008538192,,,
pompano,pompano2,side3,9.74216811,39.2850117,1.0374883,0.025729761,13.2055327,0.3023327,0.023430831,,,
pompano,pompano2,side4,9.74216811,,,,,,,46.9104309,1.30675778,0.028654661
pompano,pompano2,side4,9.74216811,,,,,,,,,
pompano,pompano2,side4,9.74216811,37.7180922,2.6044078,0.064589443,,,,,,
pompano,pompano2,side4,9.74216811,38.9847943,1.3377057,0.033175168,12.2022104,0.7009896,0.054326803,,,
pompano,pompano3,top,8.12733086,42.8999562,2.5774562,0.063921042,13.5224691,0.6192691,0.047993451,47.2597773,1.65610418,0.036315149
pompano,pompano3,top,8.12733086,42.8608636,2.5383636,0.062951543,13.3577882,0.4545882,0.035230656,,,
pompano,pompano3,top,8.12733086,41.9926597,1.6701597,0.041420043,13.5369568,0.6337568,0.04911625,,,
pompano,pompano3,top,8.12733086,40.647126,0.324626,0.008050741,13.4212423,0.5180423,0.040148359,,,
pompano,pompano3,side1,8.12733086,,,,,,,48.7110057,3.10733258,0.06813777
pompano,pompano3,side1,8.12733086,48.468877,8.146377,0.202030554,20.1481033,7.2449033,0.561481129,,,
pompano,pompano3,side1,8.12733086,42.4577738,2.1352738,0.052954896,13.5414692,0.6382692,0.049465962,,,
pompano,pompano3,side1,8.12733086,42.5245829,2.2020829,0.054611765,13.9406471,1.0374471,0.080402311,,,
pompano,pompano3,side2,8.12733086,,,,14.8713028,1.9681028,0.152528272,56.2832851,10.67961198,0.234183153
pompano,pompano3,side2,8.12733086,,,,,,,,,
pompano,pompano3,side2,8.12733086,40.5026636,0.1801636,0.004468066,14.1666736,1.2634736,0.0979194,,,
pompano,pompano3,side2,8.12733086,39.0198234,1.3026766,0.032306444,13.7515656,0.8483656,0.065748465,,,
pompano,pompano3,side3,8.12733086,,,,9.68665947,3.21654053,0.24928239,36.7907084,8.81296472,0.193251204
