"","Comparison","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"53","18",34,19.1126250923049,0.562136032126616,NA,0.928991702578022,NA
"54","18",35,20.5735153922968,NA,NA,1,NA
"55","19",1,0.611760697167409,0.611760697167409,1.12462907970572,0.0386143657530516,0.453
"56","19",28,15.2310658063098,0.543966635939636,NA,0.961385634246948,NA
"57","19",29,15.8428265034772,NA,NA,1,NA
"58","20",1,0.0721530168366862,0.0721530168366862,0.0987930603499501,0.00328229308570161,0.728
"59","20",30,21.9103497495984,0.730344991653279,NA,0.996717706914298,NA
"60","20",31,21.982502766435,NA,NA,1,NA
"61","21",1,1.12065448056676,1.12065448056676,1.2748497126675,0.0407627766201907,0.36
"62","21",30,26.3714491856903,0.879048306189677,NA,0.959237223379809,NA
"63","21",31,27.4921036662571,NA,NA,1,NA
"64","22",1,1.51588656503076,1.51588656503076,2.25142790321877,0.0677092096547477,0.147
"65","22",31,20.8723021726658,0.673300070085994,NA,0.932290790345252,NA
"66","22",32,22.3881887376966,NA,NA,1,NA
"67","23",1,1.04592050665418,1.04592050665418,2.25961587673971,0.0679387244012034,0.169
"68","23",31,14.3491360810679,0.462875357453803,NA,0.932061275598797,NA
"69","23",32,15.3950565877221,NA,NA,1,NA
"70","24",1,0.167730255895411,0.167730255895411,0.400594758412386,0.0157710778909897,0.658
"71","24",25,10.4675767950727,0.41870307180291,NA,0.98422892210901,NA
"72","24",26,10.6353070509682,NA,NA,1,NA
"73","25",1,0.755778623221932,0.755778623221932,1.19007339817833,0.0422160446824246,0.307
"74","25",27,17.1468607383613,0.635068916235604,NA,0.957783955317575,NA
"75","25",28,17.9026393615832,NA,NA,1,NA
"76","26",1,2.19913522638433,2.19913522638433,2.74790635640735,0.0923731009330505,0.087
"77","26",27,21.6079601744533,0.800294821276047,NA,0.90762689906695,NA
"78","26",28,23.8070954008376,NA,NA,1,NA
"79","27",1,1.92241558487856,1.92241558487856,3.40571706740004,0.0961911620351242,0.072
"80","27",32,18.0629504737681,0.564467202305255,NA,0.903808837964876,NA
"81","27",33,19.9853660586467,NA,NA,1,NA
"82","28",1,1.57721053510737,1.57721053510737,2.89163971078858,0.100085690522743,0.104
"83","28",26,14.181391187773,0.545438122606654,NA,0.899914309477257,NA
"84","28",27,15.7586017228804,NA,NA,1,NA
"85","29",1,0.543230851498413,0.543230851498413,0.729145329496415,0.0253799868089983,0.488
"86","29",28,20.8606751310616,0.745024111823628,NA,0.974620013191002,NA
"87","29",29,21.40390598256,NA,NA,1,NA
"88","30",1,0.00275568712781815,0.00275568712781815,0.00304714977120902,0.000108814935564393,0.799
"89","30",28,25.3217745671535,0.904349091684055,NA,0.999891185064436,NA
"90","30",29,25.3245302542813,NA,NA,1,NA
"91","31",1,0.477904397909803,0.477904397909803,1.62250576205456,0.058738543708928,0.37
"92","31",26,7.65822509617508,0.294547119083657,NA,0.941261456291072,NA
"93","31",27,8.13612949408488,NA,NA,1,NA
"94","32",1,2.96809608645455,2.96809608645455,5.79645252128373,0.171510679046369,0.012
"95","32",28,14.3375090394636,0.512053894266559,NA,0.828489320953631,NA
"96","32",29,17.3056051259182,NA,NA,1,NA
"97","33",1,3.510283221647,3.510283221647,5.22846839083451,0.157349063740678,0.019
"98","33",28,18.7986084755556,0.671378874126985,NA,0.842650936259322,NA
"99","33",29,22.3088916972026,NA,NA,1,NA
"100","34",1,1.44642474661548,1.44642474661548,3.04337197249677,0.121524049390756,0.101
"101","34",22,10.4559497534685,0.475270443339478,NA,0.878475950609244,NA
"102","34",23,11.902374500084,NA,NA,1,NA
"103","35",1,2.59055146872125,2.59055146872125,3.82060363196717,0.147967246870909,0.044
"104","35",22,14.9170491895605,0.678047690434566,NA,0.852032753129091,NA
"105","35",23,17.5076006582817,NA,NA,1,NA
"106","36",1,0.602874026889511,0.602874026889511,0.669973766210352,0.0271574575862741,0.52
"107","36",24,21.596333132849,0.899847213868709,NA,0.972842542413726,NA
"108","36",25,22.1992071597385,NA,NA,1,NA
"109","37",1,0.23400083536102,0.23400083536102,0.288454895496523,0.011876214305835,0.68
"110","37",24,19.4693178598945,0.811221577495606,NA,0.988123785694165,NA
"111","37",25,19.7033186952556,NA,NA,1,NA
"112","38",1,0.529110681619056,0.529110681619056,0.802394375061743,0.0385722124383752,0.46
"113","38",20,13.1882948850019,0.659414744250097,NA,0.961427787561625,NA
"114","38",21,13.717405566621,NA,NA,1,NA
"115","39",1,13.8939546207655,13.8939546207655,18.3189266483892,0.46590607145019,0.001
"116","39",21,15.9274095385785,0.758448073265643,NA,0.53409392854981,NA
"117","39",22,29.821364159344,NA,NA,1,NA
"118","40",1,6.46583292866981,6.46583292866981,8.71067617779329,0.258395178187835,0.002
"119","40",25,18.5572072612273,0.742288290449092,NA,0.741604821812165,NA
"120","40",26,25.0230401898971,NA,NA,1,NA
