number,colony.id,site,t1,total.colony.size.t1,disease.area.t1,healthy.area.t1,total.model.area.t1,t2,total.colony.size.t2,disease.area.t2,healthy.area.t2,total.model.area.t2,t3,total.colony.size.t3,disease.area.t3,healthy.area.t3,total.model.area.t3,t4,total.colony.size.t4,disease.area.t4,healthy.area.t4,total.model.area.t4,prop.total.1,prop.total.2,prop.total.3,prop.total.4
,,,,,,,,,,,,,,,,,,,,,,,0.182440821,,,
,,,,,,,,,,,,,,,,,,,,,,,0.86846006,,,
,,,,,,,,,,,,,,,,,,,,,,,0.996009631,,,
,,,,,,,,,,,,,,,,,,,,,,,0.911294057,,,
,,,,,,,,,,,,,,,,,,,,,,,0.978589087,,,
,,,,,,,,,,,,,,,,,,,,,,,0.695267993,,,
,,,,,,,,,,,,,,,,,,,,,,,0.852247117,,,
,,,,,,,,,,,,,,,,,,,,,,,0.907424452,,,
,,,,,,,,,,,,,,,,,,,,,,,0.993678334,,,
,,,,,,,,,,,,,,,,,,,,,,,0.826992253,,,
,,,,,,,,,,,,,,,,,,,,,,,1.030923207,,,
,,,,,,,,,,,,,,,,,,,,,,,0.946903093,,,
,,,,,,,,,,,,,,,,,,,,,,,0.923655597,,,
,,,,,,,,,,,,,,,,,,,,,,,0.884761101,,,
,,,,,,,,,,,,,,,,,,,,,,,0.954222764,,,
,,,,,,,,,,,,,,,,,,,,,,,0.891228411,,,
,,,,,,,,,,,,,,,,,,,,,,,0.921670532,,,
,,,,,,,,,,,,,,,,,,,,,,,0.869317384,,,
,,,,,,,,,,,,,,,,,,,,,,,0.868460602,,,
,,,,,,,,,,,,,,,,,,,,,,,0.80306214,,,
,,,,,,,,,,,,,,,,,,,,,,,1.033828187,,,
,,,,,,,,,,,,,,,,,,,,,,,0.590865634,,,
,,,,,,,,,,,,,,,,,,,,,,,0.867810888,,,
,,,,,,,,,,,,,,,,,,,,,,,0.50791606,,,
,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,0.850248033,,,
,,,,,,,,,,,,,,,,,,,,,,,0.887854042,,,
