location,model,face,whole,square,square diff,square error,rectangle,rectangle diff,rectangle error,circle,circle diff,circle error
Pool,pool7,side4,4.40857253,40.4551578,0.1326578,0.00328992,12.536388,0.366812,0.02842799,,,
Pool,pool7,side4,4.40857253,40.7678139,0.4453139,0.01104381,12.9114569,0.0082569,0.00063991,,,
Pool,pool7,side4,4.40857253,41.3711173,1.0486173,0.02600576,11.9373864,0.9658136,0.0748507,44.1562404,1.44743272,0.03173939
Pool,pool7,side4,4.40857253,41.5264032,1.2039032,0.02985686,13.120498,0.217298,0.01684063,,,
Pool,pool7,top,4.40857253,39.7664096,0.5560904,0.01379107,12.6470445,0.2561555,0.01985209,44.9759658,0.62770732,0.0137644
Pool,pool7,top,4.40857253,40.2547096,0.0677904,0.00168121,13.1610863,0.2578863,0.01998623,,,
Pool,pool7,top,4.40857253,43.1615838,2.8390838,0.07040942,13.4147683,0.5115683,0.03964662,,,
Pool,pool7,top,4.40857253,43.4703868,3.1478868,0.07806775,12.7772179,0.1259821,0.00976363,,,
LBTS,lbts1,side1,7.8720836,35.2080444,5.1144556,0.12683875,12.2501822,0.6530178,0.05060898,,,
LBTS,lbts1,side1,7.8720836,39.8815046,0.4409954,0.01093671,13.3995531,0.4963531,0.03846744,,,
LBTS,lbts1,side1,7.8720836,49.6875846,9.3650846,0.23225456,17.4067719,4.5035719,0.34902752,,,
LBTS,lbts1,side1,7.8720836,,,,12.2155689,0.6876311,0.05329152,45.0772639,0.52640922,0.01154313
LBTS,lbts1,side2,7.8720836,39.9041538,0.4183462,0.01037501,13.2462756,0.3430756,0.02658841,,,
LBTS,lbts1,side2,7.8720836,41.7526041,1.4301041,0.03546665,13.0644179,0.1612179,0.01249441,,,
LBTS,lbts1,side2,7.8720836,43.9089252,3.5864252,0.08894352,14.8474569,1.9442569,0.15068021,61.7496471,16.145974,0.35404986
LBTS,lbts1,side2,7.8720836,45.1108417,4.7883417,0.11875111,13.490369,0.587169,0.04550569,,,
LBTS,lbts1,side3,7.8720836,35.6674565,4.6550435,0.11544531,12.5165268,0.3866732,0.02996723,,,
